id,object_name,indicator_value
7,Омская область,49.9
7,Оренбургская область,54.4
7,Орловская область,13.9
7,Пензенская область,28.0
7,Пермский край,67.0
7,Приморский край,48.9
7,Псковская область,15.4
7,Республика Адыгея,9.5
7,Республика Алтай,12.3
7,Республика Башкортостан,102.6
7,Республика Бурятия,36.4
7,Республика Дагестан,120.8
7,Республика Ингушетия,29.9
7,Республика Калмыкия,9.0
7,Республика Карелия,15.1
7,Республика Коми,20.3
7,Республика Крым,41.1
7,Республика Марий Эл,17.0
7,Республика Мордовия,14.5
7,Республика Саха (Якутия),30.2
7,Республика Северная Осетия — Алания,17.7
7,Республика Татарстан,82.3
7,Республика Тыва,18.5
7,Республика Хакасия,18.5
7,Ростовская область,87.5
7,Рязанская область,23.0
7,Самарская область,60.0
7,Санкт-Петербург,88.4
7,Саратовская область,44.1
7,Сахалинская область,11.5
7,Свердловская область,111.9
7,Севастополь,7.3
7,Смоленская область,18.0
7,Ставропольский край,60.4
7,Тамбовская область,21.0
7,Тверская область,25.7
7,Томская область,30.5
7,Тульская область,29.1
7,Тюменская область (без автономных округов),41.9
7,Тюменская область (с автономными округами),86.3
7,Удмуртская Республика,42.2
7,Ульяновская область,29.3
7,Хабаровский край,30.0
7,Ханты-Мансийский автономный округ — Югра,31.4
7,Челябинская область,88.6
7,Чеченская Республика,109.4
7,Чувашская Республика,25.9
7,Чукотский автономный округ,1.6
7,Ямало-Ненецкий автономный округ,12.9
7,Ярославская область,20.3
8,Алтайский край,1.9
8,Амурская область,0.6
8,Архангельская область (без автономного округа),0.9
8,Архангельская область (с автономным округом),0.9
8,Астраханская область,0.5
8,Белгородская область,1.0
8,Брянская область,1.0
8,Владимирская область,0.8
8,Волгоградская область,1.2
8,Вологодская область,0.8
8,Воронежская область,1.6
8,Еврейская автономная область,0.1
8,Забайкальский край,0.7
8,Ивановская область,1.0
8,Иркутская область,1.4
8,Кабардино-Балкарская Республика,0.2
8,Калининградская область,0.8
8,Калужская область,0.7
8,Камчатский край,0.2
8,Карачаево-Черкесская Республика,0.2
8,Кемеровская область,1.6
8,Кировская область,1.4
8,Костромская область,0.6
8,Краснодарский край,2.4
8,Красноярский край,1.9
8,Курганская область,0.7
8,Курская область,0.7
8,Ленинградская область,0.8
8,Липецкая область,0.7
8,Магаданская область,0.1
8,Москва,18.8
8,Московская область,4.0
8,Мурманская область,0.6
8,Ненецкий автономный округ,0.0
8,Нижегородская область,2.1
8,Новгородская область,0.5
8,Новосибирская область,2.1
8,Омская область,1.2
8,Оренбургская область,1.3
8,Орловская область,0.6
8,Пензенская область,0.8
8,Пермский край,1.5
8,Приморский край,1.3
8,Псковская область,0.7
8,Республика Адыгея,0.2
8,Республика Алтай,0.3
8,Республика Башкортостан,1.5
8,Республика Бурятия,0.6
8,Республика Дагестан,0.5
8,Республика Ингушетия,0.1
8,Республика Калмыкия,0.3
8,Республика Карелия,0.6
8,Республика Коми,0.6
8,Республика Крым,0.1
8,Республика Марий Эл,0.6
8,Республика Мордовия,0.6
8,Республика Саха (Якутия),0.4
8,Республика Северная Осетия — Алания,0.3
8,Республика Татарстан,1.0
8,Республика Тыва,0.2
8,Республика Хакасия,0.5
8,Ростовская область,1.5
8,Рязанская область,0.8
8,Самарская область,1.3
8,Санкт-Петербург,2.8
8,Саратовская область,1.3
8,Сахалинская область,0.4
8,Свердловская область,2.0
8,Севастополь,0.0
8,Смоленская область,0.8
8,Ставропольский край,1.2
8,Тамбовская область,0.8
8,Тверская область,0.9
8,Томская область,0.9
8,Тульская область,0.8
8,Тюменская область (без автономных округов),0.8
8,Тюменская область (с автономными округами),1.3
8,Удмуртская Республика,1.0
8,Ульяновская область,0.8
8,Хабаровский край,0.9
8,Ханты-Мансийский автономный округ — Югра,0.4
8,Челябинская область,1.8
8,Чеченская Республика,0.1
8,Чувашская Республика,0.6
8,Чукотский автономный округ,0.0
8,Ямало-Ненецкий автономный округ,0.1
8,Ярославская область,0.8
9,Алтайский край,331.3
9,Амурская область,274.5
9,Архангельская область (без автономного округа),401.2
9,Архангельская область (с автономным округом),398.1
9,Астраханская область,258.1
9,Белгородская область,325.8
9,Брянская область,345.0
9,Владимирская область,320.9
9,Волгоградская область,282.9
9,Вологодская область,315.4
9,Воронежская область,308.5
9,Еврейская автономная область,280.3
9,Забайкальский край,261.8
9,Ивановская область,324.0
9,Иркутская область,302.3
9,Кабардино-Балкарская Республика,212.5
9,Калининградская область,263.9
9,Калужская область,279.8
9,Камчатский край,298.6
9,Карачаево-Черкесская Республика,257.8
9,Кемеровская область,309.2
9,Кировская область,358.0
9,Костромская область,343.0
9,Краснодарский край,274.5
9,Красноярский край,283.1
9,Курганская область,358.9
9,Курская область,344.9
9,Ленинградская область,231.1
9,Липецкая область,324.3
9,Магаданская область,306.8
9,Москва,229.3
9,Московская область,224.9
9,Мурманская область,347.1
9,Ненецкий автономный округ,326.3
9,Нижегородская область,317.4
9,Новгородская область,324.1
9,Новосибирская область,286.5
9,Омская область,306.5
9,Оренбургская область,315.6
9,Орловская область,366.3
9,Пензенская область,332.5
9,Пермский край,301.3
9,Приморский край,272.9
9,Псковская область,328.6
9,Республика Адыгея,232.9
9,Республика Алтай,278.1
9,Республика Башкортостан,281.5
9,Республика Бурятия,255.6
9,Республика Дагестан,210.4
9,Республика Ингушетия,216.5
9,Республика Калмыкия,270.6
9,Республика Карелия,426.9
9,Республика Коми,384.5
9,Республика Крым,286.9
9,Республика Марий Эл,303.6
9,Республика Мордовия,310.7
9,Республика Саха (Якутия),271.3
9,Республика Северная Осетия — Алания,269.5
9,Республика Татарстан,275.0
9,Республика Тыва,242.8
9,Республика Хакасия,274.6
9,Ростовская область,283.8
9,Рязанская область,325.5
9,Самарская область,291.6
9,Санкт-Петербург,257.4
9,Саратовская область,284.4
9,Сахалинская область,339.6
9,Свердловская область,301.4
9,Севастополь,203.6
9,Смоленская область,320.4
9,Ставропольский край,240.6
9,Тамбовская область,336.1
9,Тверская область,318.8
9,Томская область,274.7
9,Тульская область,339.8
9,Тюменская область (без автономных округов),253.9
9,Тюменская область (с автономными округами),263.1
9,Удмуртская Республика,309.2
9,Ульяновская область,331.2
9,Хабаровский край,270.8
9,Ханты-Мансийский автономный округ — Югра,265.3
9,Челябинская область,294.1
9,Чеченская Республика,281.1
9,Чувашская Республика,304.1
9,Чукотский автономный округ,309.6
9,Ямало-Ненецкий автономный округ,284.1
9,Ярославская область,318.6
10,Алтайский край,695.0
10,Амурская область,207.0
10,Архангельская область (без автономного округа),380.0
10,Архангельская область (с автономным округом),394.0
10,Астраханская область,244.0
10,Белгородская область,483.0
10,Брянская область,391.0
10,Владимирская область,417.0
10,Волгоградская область,689.0
10,Вологодская область,352.0
10,Воронежская область,697.0
10,Еврейская автономная область,40.0
10,Забайкальский край,258.0
